"TOA5","10560","CR3000","10560","CR3000.Std.28","CPU:DSI-SO-298394.CR3","31431","flux"
"TIMESTAMP","RECORD","Hs","tau","u_star","Ts_stdev","Ts_Ux_cov","Ts_Uy_cov","Ts_Uz_cov","Ux_stdev","Ux_Uy_cov","Ux_Uz_cov","Uy_stdev","Uy_Uz_cov","Uz_stdev","wnd_spd","rslt_wnd_spd","wnd_dir_sonic","std_wnd_dir","wnd_dir_compass","Ux_Avg","Uy_Avg","Uz_Avg","Ts_Avg","sonic_azimuth","sonic_samples_Tot","diag_sonic_aggregate","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","Fc_wpl","LE_wpl","Hc","CO2_stdev","CO2_Ux_cov","CO2_Uy_cov","CO2_Uz_cov","H2O_stdev","H2O_Ux_cov","H2O_Uy_cov","H2O_Uz_cov","Tc_stdev","Tc_Ux_cov","Tc_Uy_cov","Tc_Uz_cov","CO2_mean","H2O_mean","amb_tmpr_Avg","amb_press_mean","Tc_mean","rho_a_mean","Fc_irga","LE_irga","CO2_wpl_LE","CO2_wpl_H","H2O_wpl_LE","H2O_wpl_H","irga_samples_Tot","diag_irga_aggregate","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","CO2_sig_strgth_mean","H2O_sig_strgth_mean","T_tmpr_rh_mean","e_tmpr_rh_mean","e_sat_tmpr_rh_mean","H2O_tmpr_rh_mean","RH_tmpr_rh_mean","rho_a_tmpr_rh_mean","Rn_Avg","Rn_meas_Avg","precip_Tot","panel_tmpr_Avg","batt_volt_Avg","process_time_Avg","process_time_Max","buff_depth_Max","slowsequence_Tot"
"TS","RN","W/m^2","kg/(m s^2)","m/s","C","C m/s","C m/s","C m/s","m/s","(m/s)^2","(m/s)^2","m/s","(m/s)^2","m/s","m/s","m/s","degrees","degrees","degrees","m/s","m/s","m/s","C","degrees","samples","arb","samples","samples","arb","arb","arb","arb","arb","arb","mg/(m^2 s)","W/m^2","W/m^2","mg/m^3","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/m^3","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","C","C m/s","C m/s","C m/s","mg/m^3","g/m^3","C","kPa","C","kg/m^3","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","samples","arb","samples","samples","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","arb","fraction","fraction","C","kPa","kPa","g/m^3","%","kg/m^3","W/m^2","W/m^2","mm","C","V","us","us","scans","samples"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Smp","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Avg","Avg","Max","Max","Tot"
"2019-06-21 14:30:00",9395,"NAN",-1.06351E-006,0.5680268,0.1785743,0.02542648,0.1438309,0.04486639,1.677694,0.2328547,0.02711143,1.961956,0.3215134,1.038512,3.857134,3.504424,-115.2156,24.49411,115.2156,-1.492978,-3.170496,0.4464855,21.62106,0,17997,1,0,0,3,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",18.82919,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.56565,0.000589606,0.02423955,0.005424311,2.432413,-3.296126E-006,80.29559,79.83475,0,22.9745,10.72885,22136.91,39550,0,360
"2019-06-21 15:00:00",9396,"NAN",-2.179766E-006,0.8185921,0.190153,0.008239223,0.2016169,0.04937379,1.637059,-0.1671543,0.003920555,2.306776,0.6700816,1.167819,4.390177,4.026081,-111.7687,23.32662,111.7687,-1.493119,-3.738976,0.4860839,21.78286,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",19.06573,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.59119,0.0005818162,0.02417707,0.005353226,2.406479,-3.25293E-006,147.4907,146.1038,0,23.05692,10.75093,22120.6,38719,0,360
"2019-06-21 15:30:00",9397,"NAN",-1.735592E-006,0.7305833,0.2001637,0.02801976,0.2214082,0.05633992,1.658839,0.02652264,-0.03351498,2.222304,0.5326986,1.150001,4.210065,3.851651,-112.6585,23.63378,112.6585,-1.483804,-3.554379,0.5326551,21.99679,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",19.34101,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.59206,0.0005815908,0.02417495,0.005351172,2.405757,-3.251683E-006,175.9208,174.6663,0,23.44434,10.74709,22129.14,39483,0,360
"2019-06-21 16:00:00",9398,"NAN",-1.276094E-006,0.6250761,0.2560606,0.04865441,0.2686045,0.04459494,1.906312,0.5185761,0.01524043,2.262169,0.3904228,1.178921,4.369043,3.931363,-115.3857,25.63717,115.3857,-1.685415,-3.551761,0.5868359,22.06562,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",19.49255,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.5834,0.0005841743,0.02419611,0.005374745,2.414331,-3.266006E-006,270.9849,268.7427,0,23.7348,10.73925,22153.71,38706,0,360
"2019-06-21 16:30:00",9399,"NAN",-1.266021E-006,0.6332757,0.2755243,0.1160388,0.2585742,0.04735404,1.918536,0.9921544,0.2598413,1.917013,0.3054736,1.023992,3.956997,3.581862,-121.341,24.93997,121.341,-1.86304,-3.059225,0.4146834,22.26617,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",19.71813,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.64931,0.0005644936,0.02403571,0.005195125,2.348562,-3.15686E-006,227.7898,226.3412,0,24.36608,10.76967,22129.41,40868,0,360
"2019-06-21 17:00:00",9400,"NAN",-1.22358E-006,0.6261703,0.2367627,0.03072951,0.2267888,0.05426787,1.672057,0.04740608,0.04808972,2.109971,0.389129,1.111688,4.120917,3.751754,-113.8094,24.24364,113.8094,-1.514563,-3.432461,0.4542217,22.18542,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",19.63558,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.67126,0.00055797,0.02398249,0.005135566,2.326572,-3.120668E-006,199.8749,198.5098,0,24.47197,10.7757,22106.28,41525,0,360
"2019-06-21 17:30:00",9401,"NAN",-1.413798E-006,0.6710788,0.449837,0.08403698,0.4195863,0.04331177,1.510474,-0.1391428,-0.02719522,2.094029,0.4495249,1.05857,3.850224,3.482537,-108.6658,25.03118,108.6658,-1.114578,-3.29936,0.3200982,22.77755,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",20.40505,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.66011,0.0005613379,0.02400951,0.005166319,2.337982,-3.139355E-006,466.1951,463.812,0,24.76108,10.79546,22111.99,39605,0,360
"2019-06-21 18:00:00",9402,"NAN",-2.464875E-006,0.8918084,0.3885626,-0.04522301,0.6296368,0.1128119,1.43808,-0.5241475,-0.1738606,2.606066,0.7760863,0.9928831,4.493586,4.17596,-98.96286,21.53506,98.96286,-0.6505923,-4.124986,0.06299312,23.52832,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",21.16903,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.68461,0.0005541032,0.0239502,0.005100264,2.313564,-3.099216E-006,311.5467,307.3885,0,25.83475,10.82952,22082.54,39947,0,360
